;prod_name
;Вино апсны RED WINE кр. п/сл. (Россия) 1Л
;Виски вильям лоусонс WILLIAM LAWSON'S купажированный алк.40% (Россия) 0.7Л
;Вода питьевая СВЯТОЙ ИСТОЧНИК природная негаз. ПЭТ (Россия) 1.5Л
;Квас 365 ДНЕЙ фильтрованный паст. ПЭТ (Россия) 1.5Л
;Кетчуп HEINZ томатный дой-пак (Россия) 320г
;Кефир 365 ДНЕЙ 2,5% пл без змж (Россия) 800г
;Конфеты MERCI Ассорти (Германия) 250г
;Конфеты  тоффифи TOFFIFEE Орешки в карамели (Германия) 125г
;Напиток ароматизированный мартини бьянко MARTINI Bianco виноградосодерж. из виноград. сырья бел. сл. (Италия) 1Л
;Напиток безалкогольный адреналин раш ADRENALINE Rush Энергия энергетический газ ж/б (Россия) 0.449Л
;Напиток безалкогольный драйв DRIVE ME Оригинальный энерг. газ. ж/б (Россия) 0.449Л
;Напиток безалкогольный ДОБРЫЙ Кола с/газ ПЭТ (Россия) 1Л
;Напиток безалкогольный ЧЕРНОГОЛОВКА Кола сильногаз. ПЭТ (Россия) 2Л
;Печенье прослоенное глазированное LOTTE Choco Pie Чокопай 12шт (Россия) 336г
;Пиво светлое БАЛТИКА Классическое N3 паст. алк.4,8% ж/б (Россия) 0.45Л
;Пиво СТАРЫЙ МЕЛЬНИК Мягкое из бочонка светлое пастер. алк.4,3% ст. (Россия) 0.45
;Сахар-песок 365 ДНЕЙ СВ ТС2 (Россия) 1000г
;Сметана ПРОСТОКВАШИНО 15% без змж (Россия) 300г
;Чипсы лейз LAY'S Сметана и лук (Россия) 225г
;Чипсы картофельные лейз LAY'S Краб (Россия) 140г
;Шоколадные батончики сникерс SNICKERS Super (Россия) 80 г
;Яйцо куриное АЗОVO С1 (Россия) 10шт